id;ingresos;gastos_financieros;default
1046;2548;1314;1
1047;882;110;0
1048;1099;279;1
1049;1050;303;0
1050;1127;1184;0
1051;2023;9;0
1052;1043;0;0
1053;1659;45;1
1054;1087;0;1
1055;959;0;1
1056;1351;1176;0
1057;1141;71;0
1058;1125;88;0
1059;1512;432;0
1060;953;0;1
1061;1092;437;0
1062;1204;0;1
1063;1162;149;0
1064;1328;113;0
1065;1477;295;1
1066;2009;166;0
1067;947;88;0
1068;1533;515;0
1069;1225;194;0
1070;1112;0;0
1071;1372;380;0
1072;1183;279;1
1073;1022;159;0
1074;1799;905;0
1075;1227;189;1
1076;1225;0;1
1077;2282;200;0
1078;1029;0;0
1079;1393;88;0
1080;966;29;0
1081;1113;0;0
1082;1672;455;1
1083;1218;96;1
1084;1330;133;1
1085;1659;845;0
1086;1050;0;0
1087;952;0;0
1088;1360;206;1
1089;1372;115;0
1090;2575;2257;0
1091;903;0;0
1092;1990;962;0
1093;991;46;0
1094;1169;73;0
1095;1057;0;0
1096;1722;784;1
1097;1071;69;0
1098;987;233;0
1099;1138;129;1
1100;1080;293;0
1101;1092;284;1
1102;979;0;0
1103;1337;235;0
1104;1939;142;0
1105;1204;96;1
1106;1064;34;0
1107;1330;84;0
1108;1125;249;0
1109;1274;202;0
1110;1127;288;0
1111;1348;735;0
1112;1589;466;0
1113;868;156;0
1114;826;0;0
1115;1554;330;1
1116;1176;112;0
1117;1155;177;0
1118;931;0;1
1119;1227;643;0
1120;1372;483;0
1121;1085;107;0
1122;1120;141;0
1123;1190;528;0
1124;1561;443;0
1125;1610;146;0
1126;1074;599;0
1127;1323;0;1
1128;1183;153;1
1129;1055;64;0
1130;917;0;0
1131;952;0;0
1132;1897;948;0
1133;1330;154;0
1134;1309;257;1
1135;985;0;0
1136;1330;404;1
1137;1351;383;0
1138;1162;102;1
1139;1337;213;0
1140;1288;89;0
1141;1841;357;1
1142;1068;168;0
1143;1163;64;0
1144;1176;9;1
1145;1218;31;0
1146;1742;1418;0
1147;1218;233;0
1148;1443;785;0
1149;1330;28;0
1150;966;87;0
1151;1120;609;0
1152;1477;364;0
1153;1708;350;0
1154;791;190;0
1155;1080;114;0
1156;1519;0;0
1157;1071;0;0
1158;1099;49;0
1159;966;0;0
1160;1767;839;0
1161;1071;0;1
1162;952;36;0
1163;953;0;0
1164;1157;95;0
1165;1736;75;1
1166;1068;0;0
1167;1295;216;1
1168;1036;42;1
1169;1120;216;0
1170;1316;29;0
1171;1323;386;0
1172;952;34;1
1173;1071;308;0
1174;1078;35;0
1175;1182;0;0
1176;1113;0;1
1177;3668;1650;1
1178;1087;82;1
1179;2800;841;0
1180;1057;201;0
1181;931;0;0
1182;1519;563;0
1183;1155;142;0
1184;1036;102;1
1185;1761;971;1
1186;1087;100;0
1187;2142;745;0
1188;903;0;1
1189;1169;108;0
1190;959;0;0
1191;1582;620;0
1192;1112;414;0
1193;1225;402;0
1194;1008;0;0
1195;991;54;0
1196;1188;65;1
1197;1442;0;0
1198;883;0;0
1199;1106;223;0
1200;1085;0;0
1201;1023;0;1
1202;1106;561;1
1203;1085;105;0
1204;1022;104;1
1205;1112;214;0
1206;1379;614;0
1207;1050;0;0
1208;1141;171;0
1209;864;0;0
1210;1981;488;0
1211;1157;132;1
1212;1010;448;0
1213;1330;655;0
1214;1042;74;1
1215;1080;109;1
1216;980;177;0
1217;1197;314;0
1218;1379;554;0
1219;1344;303;0
1220;1225;0;1
1221;921;123;0
1222;1316;0;0
1223;1190;58;0
1224;1477;265;0
1225;1087;104;0
1226;1913;97;0
1227;1188;206;0
1228;1113;0;1
1229;1561;332;0
1230;1225;296;0
1231;1087;233;0
1232;800;309;0
1233;839;356;0
1234;2156;465;1
1235;1442;342;0
1236;921;50;1
1237;2187;934;0
1238;1260;21;0
1239;1302;316;0
1240;1239;165;0
1241;1393;113;1
1242;1015;0;0
1243;1078;29;0
1244;1271;493;0
1245;1176;444;0
1246;1652;710;0
1247;1138;0;0
1248;1302;654;1
1249;1281;271;0
1250;1120;435;0
1251;1148;0;0
1252;1477;274;0
1253;1672;1002;0
1254;1253;28;0
1255;1323;220;0
1256;1995;337;1
1257;1330;809;0
1258;903;0;0
1259;1316;134;0
1260;1358;111;1
1261;1288;128;0
1262;1087;39;1
1263;1344;764;0
1264;1484;102;0
1265;1414;911;0
1266;947;0;0
1267;1264;322;0
1268;2079;317;0
1269;1183;353;1
1270;1414;314;1
1271;2034;213;0
1272;1023;213;0
